GlobalTime,SiteTime,time,station,site,moduleConfig,inputParamterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,standAlone,TestSW_Rev_NVM,AFcode,alignment_15cm_EFL,alignment_15cm_PFL,alignment_15cm_distortion_min,alignment_15cm_distortion_max,alignment_15cm_DFOV_EFL,alignment_15cm_DFOV_PFL,alignment_15cm_DFOV_DOTS,alignment_test_ver,alignment_15cm_tilt_X,alignment_15cm_tilt_Y,alignment_15cm_tilt_radial,alignment_15cm_tilt_theta,offset_tilt_test_ver_,alignment_15cm_rotation,rotation_test_ver,alignment_15cm_sensor_temperature,alignment_15cm_pntc_temperature,pass_items,fail_items,result,
T220509222139439VCMCT7021T0,'20220509222244,'2022-05-09 22:22:56:946,VCMCT7021T02,4,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1H1985ZJ,17cc15170702,0x5240f961dedca607,AS1C064033AHA731A735015026,AJ8C072362F8B131B610,DNB21523055550M13A,0,0.0000000000,368,5.7002318257,5.9254064276,-0.1122101286,1.4204468936,80.0582232884,77.8796002311,77.7625056748,9.0000000000,-0.1502279087,-0.1232390045,0.1943093862,39.3636154133,8.4000000000,-0.2648647926,8.4000000000,41.5879000000,33.2163580917,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509222202394VCMCT7021T0,'20220509222308,'2022-05-09 22:23:20:466,VCMCT7021T02,1,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1E1985ZM,17cc15170710,0x5240f961dcdecf07,AS1C064040K3C631A128051045,AJ8C072353DCB231B626,DNB21523055180H08A,0,0.0000000000,384,5.6945005331,5.9192136344,-0.0550961338,1.3321678154,80.1149996818,77.9381837054,77.7986362347,9.0000000000,0.0183912905,0.0115981114,0.0217429468,32.2367865521,8.4000000000,-0.3323880408,8.4000000000,42.2548000000,34.1881178236,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509222225449VCMCT7021T0,'20220509222331,'2022-05-09 22:23:44:166,VCMCT7021T02,8,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1B1985ZQ,17cc15160488,0x5240ea61de795201,AS1C064014D2A531B833018101,AJ8C072343A8B331B625,DNB21523055170A09A,0,0.0000000000,353,5.6987427537,5.9237974039,-0.0670701212,1.3966379909,80.0729681723,77.8948143811,77.7623475942,9.0000000000,-0.1615881708,-0.0000000000,0.1615881708,0.0000000000,8.4000000000,-0.1357701244,8.4000000000,42.1522000000,33.4862208129,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509222247953VCMCT7021T0,'20220509222359,'2022-05-09 22:24:11:866,VCMCT7021T02,5,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1T1985Z8,17cc15170070,0x5240f161ded78403,AS1C064060JJC631A934007053,AJ8C0723639BB431B638,DNB21523055180G13A,0,0.0000000000,363,5.6924475666,5.9169954767,-0.0388777604,1.2863629580,80.1353534505,77.9591853818,77.8388740806,9.0000000000,0.1499287318,-0.1746208351,0.2301538231,-49.3507700471,8.4000000000,-0.1841873652,8.4000000000,41.9983000000,33.9859794314,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509222310761VCMCT7021T0,'20220509222423,'2022-05-09 22:24:35:526,VCMCT7021T02,3,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1N1985ZD,17cc15160666,0x5240f961dcde1d05,AS1C064060KPC631A831060046,AJ8C072352HMB431B637,DNB21523054460A06A,0,0.0000000000,360,5.6927412120,5.9173127462,-0.0758539190,1.3364715423,80.1324416293,77.9561808677,77.7836572496,9.0000000000,0.1714846928,0.1298623599,0.2151070221,37.1359752045,8.4000000000,-0.1413701029,8.4000000000,42.4087000000,34.4306650440,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509222333715VCMCT7021T0,'20220509222446,'2022-05-09 22:24:58:376,VCMCT7021T02,2,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1M1985ZE,17cc15170846,0x5240f561da4e2007,AS1C064060JKC631A535025019,AJ8C072353DFB331B618,DNB21523055180G12A,0,0.0000000000,359,5.6975666296,5.9225265609,-0.0299904478,1.3596794400,80.0846174207,77.9068343920,77.7953103275,9.0000000000,0.0231403691,-0.1792141991,0.1807019614,-82.6426262381,8.4000000000,-0.1954608041,8.4000000000,42.6139000000,33.9859794314,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509222404323VCMCT7021T0,'20220509222508,'2022-05-09 22:25:21:656,VCMCT7021T02,7,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1F1985ZL,17cc15160952,0x5240ea61de79dc07,AS1C064034E2A531B631029054,AJ8C072353D7B331B638,DNB21523050350E05A,0,0.0000000000,354,5.7027029502,5.9280766863,-0.1215829322,1.3671397896,80.0337640225,77.8543625857,77.7509856570,9.0000000000,-0.1509195677,-0.2915728376,0.3283148628,62.6338365382,8.4000000000,-0.2032737062,8.4000000000,43.4860000000,34.5742802859,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509222426077VCMCT7021T0,'20220509222532,'2022-05-09 22:25:45:466,VCMCT7021T02,6,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1G1985ZK,17cc15160518,0x5240ea61de7a5e05,AS1C064024FDA531B330023040,AJ8C072353D5B131B617,DNB21523055170D02A,0,0.0000000000,359,5.6970656585,5.9219852505,-0.1259692411,1.3585031884,80.0895802846,77.9119552144,77.8388927068,9.0000000000,-0.0905244287,-0.1926497980,0.2128579182,64.8316502391,8.4000000000,-0.3168344126,8.4000000000,41.0749000000,33.7893223259,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509222448881VCMCT7021T0,'20220509222556,'2022-05-09 22:26:08:956,VCMCT7021T02,4,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1A1985ZR,17cc15160400,0x5240f961dcde5503,AS1C064050EMC631A132103030,AJ8C072352E2B331B619,DNB21523053120L08A,0,0.0000000000,378,5.6993797204,5.9244856772,-0.0754720537,1.2838882974,80.0666603354,77.8883057899,77.7796641211,9.0000000000,-0.0767233260,-0.0069308928,0.0770357443,5.1618683243,8.4000000000,-0.0497117041,8.4000000000,40.6645000000,33.0259988059,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509222511235VCMCT7021T0,'20220509222619,'2022-05-09 22:26:32:846,VCMCT7021T02,1,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC2H1985ZF,17cc15170919,0x5240f961dedcd601,AS1C064024D6A531B734019046,AJ7C0722E363B131B618,DNB21523055270E02A,0,0.0000000000,348,5.6974534474,5.9224042647,-0.1493153119,1.3819791814,80.0857386136,77.9079912701,77.7821391935,9.0000000000,-0.0053209266,0.0643348135,0.0645544765,-85.2720121812,8.4000000000,-0.3792607125,8.4000000000,42.8704000000,34.0506280972,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
