GlobalTime,SiteTime,time,station,site,moduleConfig,inputParamterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,standAlone,TestSW_Rev_NVM,AFcode,alignment_560cm_EFL,alignment_560cm_PFL,alignment_560cm_distortion_min,alignment_560cm_distortion_max,alignment_560cm_DFOV_EFL,alignment_560cm_DFOV_PFL,alignment_560cm_DFOV_DOTS,alignment_test_ver,alignment_560cm_tilt_X,alignment_560cm_tilt_Y,alignment_560cm_tilt_radial,alignment_560cm_tilt_theta,offset_tilt_test_ver_,alignment_560cm_rotation,rotation_test_ver,alignment_560cm_sensor_temperature,alignment_560cm_pntc_temperature,pass_items,fail_items,result,
T220509230155479VCMCT7021T0,'20220509230346,'2022-05-09 23:03:53:135,VCMCT7021T01,4,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC291985ZP,17cc15170005,0x5240f961dcde6c05,AS1C064050L7C631A935021047,AJ8C072342BFB431B634,DNB21523053120K08A,0,0.0000000000,-174,5.8019461448,5.8079635541,-0.0599264538,2.9360420698,79.0616478181,79.0033398734,77.4464744965,9.0000000000,-0.2037928834,0.3307351682,0.3884783723,-58.3595700947,8.4000000000,-0.0730188085,8.4000000000,37.8430000000,33.5308794536,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230218134VCMCT7021T0,'20220509230410,'2022-05-09 23:04:16:215,VCMCT7021T01,1,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1H1985ZJ,17cc15170702,0x5240f961dedca607,AS1C064033AHA731A735015026,AJ8C072362F8B131B610,DNB21523055550M13A,0,0.0000000000,-175,5.8071412747,5.8131694705,-0.0481390302,2.8746936997,79.0113034149,78.9529531978,77.4275659712,9.0000000000,-0.1471267134,-0.0172991830,0.1481402339,6.7060418826,8.4000000000,-0.1243118135,8.4000000000,39.1768000000,34.4035922771,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230241839VCMCT7021T0,'20220509230433,'2022-05-09 23:04:39:655,VCMCT7021T01,8,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1E1985ZM,17cc15170710,0x5240f961dcdecf07,AS1C064040K3C631A128051045,AJ8C072353DCB231B626,DNB21523055180H08A,0,0.0000000000,-167,5.8042876665,5.8103099362,-0.0257804868,2.9564017135,79.0389502148,78.9806232108,77.4313880476,9.0000000000,-0.1964694206,0.0972896072,0.2192381182,-26.3440657460,8.4000000000,-0.2121045908,8.4000000000,37.2274000000,33.7253844664,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230305129VCMCT7021T0,'20220509230455,'2022-05-09 23:05:02:195,VCMCT7021T01,5,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1B1985ZQ,17cc15160488,0x5240ea61de795201,AS1C064014D2A531B833018101,AJ8C072343A8B331B625,DNB21523055170A09A,0,0.0000000000,-194,5.8070418263,5.8130698155,-0.0982692627,2.7965695528,79.0122666352,78.9539172268,77.4219535539,9.0000000000,-0.2517371031,0.1509765937,0.2935386078,-30.9526612999,8.4000000000,-0.0341224905,8.4000000000,37.9969000000,34.1460221616,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230328134VCMCT7021T0,'20220509230519,'2022-05-09 23:05:25:685,VCMCT7021T01,3,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1T1985Z8,17cc15170070,0x5240f161ded78403,AS1C064060JJC631A934007053,AJ8C0723639BB431B638,DNB21523055180G13A,0,0.0000000000,-168,5.8040972690,5.8101191434,-0.0402625380,2.9505527023,79.0407954304,78.9824699758,77.4501339918,9.0000000000,-0.0438588005,-0.1020010307,0.1110306107,66.7330918166,8.4000000000,-0.0076353457,8.4000000000,39.1255000000,34.1613210044,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230350338VCMCT7021T0,'20220509230542,'2022-05-09 23:05:49:195,VCMCT7021T01,2,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1N1985ZD,17cc15160666,0x5240f961dcde1d05,AS1C064060KPC631A831060046,AJ8C072352HMB431B637,DNB21523054460A06A,0,0.0000000000,-180,5.8019851133,5.8080026034,-0.0201652842,3.0188458245,79.0612699874,79.0029617254,77.4106663191,9.0000000000,0.1205056281,0.0910639697,0.1510437158,37.0776783470,8.4000000000,-0.2128880067,8.4000000000,37.8430000000,33.6279312904,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230414442VCMCT7021T0,'20220509230605,'2022-05-09 23:06:11:685,VCMCT7021T01,7,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1M1985ZE,17cc15170846,0x5240f561da4e2007,AS1C064060JKC631A535025019,AJ8C072353DFB331B618,DNB21523055180G12A,0,0.0000000000,-173,5.8063876490,5.8124142795,-0.0673022392,3.0134306047,79.0186032441,78.9602591559,77.4273050063,9.0000000000,-0.1311043055,-0.1821836091,0.2244526111,54.2602215312,8.4000000000,-0.0781605135,8.4000000000,39.0229000000,34.2456420368,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230437398VCMCT7021T0,'20220509230628,'2022-05-09 23:06:34:225,VCMCT7021T01,6,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1F1985ZL,17cc15160952,0x5240ea61de79dc07,AS1C064034E2A531B631029054,AJ8C072353D7B331B638,DNB21523050350E05A,0,0.0000000000,-193,5.8049352506,5.8109588649,-0.1081005888,2.9371032150,79.0326747641,78.9743424908,77.4218287997,9.0000000000,-0.2810063986,-0.2060721227,0.3484665750,36.2538377374,8.4000000000,-0.1685606215,8.4000000000,38.8177000000,33.7930887795,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230459952VCMCT7021T0,'20220509230650,'2022-05-09 23:06:57:155,VCMCT7021T01,4,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1G1985ZK,17cc15160518,0x5240ea61de7a5e05,AS1C064024FDA531B330023040,AJ8C072353D5B131B617,DNB21523055170D02A,0,0.0000000000,-180,5.8093044541,5.8153371440,-0.0665307151,2.8146906305,78.9903565183,78.9319887149,77.4619965917,9.0000000000,-0.2649167902,-0.0777205740,0.2760819103,16.3503905079,8.4000000000,-0.1574297888,8.4000000000,37.0735000000,33.2973611784,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230523063VCMCT7021T0,'20220509230713,'2022-05-09 23:07:21:025,VCMCT7021T01,1,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1A1985ZR,17cc15160400,0x5240f961dcde5503,AS1C064050EMC631A132103030,AJ8C072352E2B331B619,DNB21523053120L08A,0,0.0000000000,-166,5.8072544913,5.8132829222,-0.0463185086,3.0234836576,79.0102068649,78.9518557271,77.4252476396,9.0000000000,-0.1123583796,0.0749056397,0.1350378893,-33.6900675260,8.4000000000,-0.0419925548,8.4000000000,37.4839000000,33.8345595060,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
