GlobalTime,SiteTime,time,station,site,moduleConfig,inputParamterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,standAlone,TestSW_Rev_NVM,oc_x,oc_y,oc_xShift,oc_yShift,oc_rShift,OC_ROI_CENTER_MEAN,OC_ROI_TOP_MEAN,OC_ROI_BOTTOM_MEAN,OC_ROI_LFET_MEAN,OC_ROI_RIGHT_MEAN,oc_threshold,OC_ROI_CENTER,OC_ROI_TOP,OC_ROI_BOTTOM,OC_ROI_LFET,OC_ROI_RIGHT,test_ver,pass_items,fail_items,result,
T220509224240439VCMCT8271T0,'20220509224523,'2022-05-09 22:45:35:447,VCMCT8271T02,1,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1V1985Z6,17cc15170282,0x5240f961dcdecb01,AS1C064040F0C631B131017008,AJ8C072363AAB131B632,DNB21523054780A05A,0,0.0000000000,2112.1428918858,1518.2374559372,-0.3571081142,-5.7374559372,5.7485586747,734.6035000000,386.9226000000,389.1271000000,386.6500000000,385.2067000000,560.7900500000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
T220509224303144VCMCT8271T0,'20220509224546,'2022-05-09 22:45:59:237,VCMCT8271T02,7,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1Q1985ZB,17cc15170106,0x5240f961dcde4e01,AS1C0640239FA731A633016027,AJ8C072352J9B231B613,DNB21523053600D11A,0,0.0000000000,2118.4896752960,1514.7266677548,5.9896752960,-2.2266677548,6.3901689682,732.0064000000,387.3913000000,385.3467000000,385.5325000000,385.9157000000,559.0264750000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
T220509224327449VCMCT8271T0,'20220509224609,'2022-05-09 22:46:22:417,VCMCT8271T02,6,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1R1985ZA,17cc15170371,0x5240f961dcdea101,AS1C064034BJA531B032034007,AJ7C0722E35PB131B612,DNB21523054510A11A,0,0.0000000000,2114.1580240023,1518.0317798584,1.6580240023,-5.5317798584,5.7749140248,732.7637000000,387.0499000000,388.9820000000,386.6684000000,383.6401000000,559.6744000000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
T220509224351653VCMCT8271T0,'20220509224632,'2022-05-09 22:46:45:307,VCMCT8271T02,3,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1K1985ZG,17cc15170379,0x5240f961dedcae03,AS1C064023BEA731B133018026,AJ8C072342B7B431B626,DNB21523054510J05A,0,0.0000000000,2111.3741913920,1521.2562829248,-1.1258086080,-8.7562829248,8.8283597390,719.4061000000,380.9484000000,383.5195000000,379.6885000000,379.5134000000,550.1617750000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
T220509224415908VCMCT8271T0,'20220509224657,'2022-05-09 22:47:09:468,VCMCT8271T02,2,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1J1985ZH,17cc15170089,0x5240f961dcde5207,AS1C064060KMC631A729023038,AJ8C072352E4B131B631,DNB21523053120K09A,0,0.0000000000,2118.1979750425,1511.7644103080,5.6979750425,0.7355896920,5.7452599401,740.1187000000,393.0937000000,389.6026000000,388.7278000000,390.3546000000,565.2816875000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
T220509224438563VCMCT8271T0,'20220509224720,'2022-05-09 22:47:33:148,VCMCT8271T02,8,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1L1985ZF,17cc15170538,0x5240f961dcde6403,AS1C064040L0C631A837037035,AJ8C072362BJB331B621,DNB21523055220I10A,0,0.0000000000,2115.5433338316,1511.4030182179,3.0433338316,1.0969817821,3.2350038394,732.4803000000,389.5264000000,385.2785000000,382.7076000000,387.0608000000,559.3118125000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
T220509224501168VCMCT8271T0,'20220509224743,'2022-05-09 22:47:56:208,VCMCT8271T02,5,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC261985ZS,17cc15170435,0x5240f961dcde7401,AS1C064033AFA731A337125054,AJ8C072342BCB331B627,DNB21523053120M09A,0,0.0000000000,2115.0550686514,1515.1212241755,2.5550686514,-2.6212241755,3.6604906763,730.1147000000,386.0988000000,386.0740000000,385.8008000000,382.6484000000,557.6351000000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
T220509224523933VCMCT8271T0,'20220509224806,'2022-05-09 22:48:18:588,VCMCT8271T02,4,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC2B1985ZM,17cc15170232,0x5240f961dedaa205,AS1C0640338JA731A932037100,AJ8C072352J2B331B626,DNB21523053600G14A,0,0.0000000000,2115.5207966158,1519.9339547372,3.0207966158,-7.4339547372,8.0242691398,727.2838000000,382.6175000000,385.6042000000,381.9167000000,383.9754000000,555.4061250000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
T220509224548042VCMCT8271T0,'20220509224830,'2022-05-09 22:48:42:928,VCMCT8271T02,1,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC2C1985ZL,17cc15160576,0x5240ea61de7a1407,AS1C064014BBA531B031009025,AJ8C072363A3B431B626,DNB21523054780B01A,0,0.0000000000,2113.4005515270,1517.5213523802,0.9005515270,-5.0213523802,5.1014677083,733.9324000000,391.5217000000,389.5950000000,386.1066000000,386.2597000000,561.1515750000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
T220509224610606VCMCT8271T0,'20220509224852,'2022-05-09 22:49:05:448,VCMCT8271T02,7,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC2F1985ZH,17cc15170260,0x5240f961dcde2f03,AS1C064032JGA731B035020039,AJ8C072362B6B231B633,DNB21523054510J12A,0,0.0000000000,2111.0578568388,1511.7881351759,-1.4421431612,0.7118648241,1.6082687665,734.3408000000,388.2684000000,388.1958000000,387.0975000000,383.9498000000,560.6093375000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
