GlobalTime,SiteTime,time,station,site,moduleConfig,inputParamterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,standAlone,TestSW_Rev_NVM,LightAmount_Peak0_Neutral,vcm_um_Peak0_Neutral,LightAmount_Peak1_Neutral,vcm_um_Peak1_Neutral,LightAmount_Peak2_Neutral,vcm_um_Peak2_Neutral,LightAmount_Peak3_Neutral,vcm_um_Peak3_Neutral,vcm_um_targetpeak,
T220509182136729VCMCT8271T0,'20220509182152,'2022-05-09 18:21:57:628,VCMCT8271T01,2,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC2B1985ZM,17cc15170232,0x5240f961dedaa205,AS1C0640338JA731A932037100,AJ8C072352J2B331B626,DNB21523053600G14A,0,0.0000000000,1058,-68.8640000000,1172,-0.0000000000,1110,-0.0000000000,0,-0.0000000000,-68.8640000000,
T220509182159641VCMCT8271T0,'20220509182215,'2022-05-09 18:22:20:488,VCMCT8271T01,8,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC2C1985ZL,17cc15160576,0x5240ea61de7a1407,AS1C064014BBA531B031009025,AJ8C072363A3B431B626,DNB21523054780B01A,0,0.0000000000,1200,-59.6480000000,1219,-0.0000000000,915,-0.0000000000,1080,-0.0000000000,-59.6480000000,
T220509182222463VCMCT8271T0,'20220509182239,'2022-05-09 18:22:44:018,VCMCT8271T01,5,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC2F1985ZH,17cc15170260,0x5240f961dcde2f03,AS1C064032JGA731B035020039,AJ8C072362B6B231B633,DNB21523054510J12A,0,0.0000000000,1192,-116.2240000000,1116,-0.0000000000,922,-0.0000000000,1114,-0.0000000000,-116.2240000000,
T220509182245996VCMCT8271T0,'20220509182302,'2022-05-09 18:23:06:958,VCMCT8271T01,4,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC2G1985ZG,17cc15160145,0x5240f961dcde5501,AS1C064050ELC631B628002030,AJ8C072342BHB231B626,DNB21523053120L02A,0,0.0000000000,1124,-144.1280000000,1033,-0.0000000000,1113,-0.0000000000,0,-0.0000000000,-144.1280000000,
T220509182309136VCMCT8271T0,'20220509182324,'2022-05-09 18:23:29:528,VCMCT8271T01,1,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1U1985Z7,17cc15170462,0x5240f961dedcf901,AS1C064024D5A531B233128040,AJ7C0722E360B431B627,DNB21523055270E05A,0,0.0000000000,1466,-171.7760000000,1363,-0.0000000000,986,-0.0000000000,1224,-0.0000000000,-171.7760000000,
T220509182331572VCMCT8271T0,'20220509182347,'2022-05-09 18:23:52:198,VCMCT8271T01,7,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC171985ZU,17cc15170902,0x5240f961dcde6707,AS1C064034BBA531B536035025,AJ7C0722E35NB231B619,DNB21523054510A08A,0,0.0000000000,1261,10.4960000000,1115,-0.0000000000,974,-0.0000000000,944,-0.0000000000,10.4960000000,
T220509182354093VCMCT8271T0,'20220509182411,'2022-05-09 18:24:16:178,VCMCT8271T01,6,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC121985ZZ,17cc15160543,0x5240ea61de7a1c01,AS1C064014BMA531B532044018,AJ7C0722E36NB131B625,DNB21523055270E09A,0,0.0000000000,1058,-120.3200000000,1122,-0.0000000000,1179,-0.0000000000,422,-0.0000000000,-120.3200000000,
T220509182418822VCMCT8271T0,'20220509182435,'2022-05-09 18:24:40:228,VCMCT8271T01,3,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1W1985Z5,17cc15170211,0x5240f961dcde7403,AS1C064050H5C631A332035021,AJ8C072362BKB231B628,DNB21523054510L08A,0,0.0000000000,1132,-37.1200000000,1091,-0.0000000000,1046,-0.0000000000,0,-0.0000000000,-37.1200000000,
T220509182442231VCMCT8271T0,'20220509182458,'2022-05-09 18:25:02:898,VCMCT8271T01,2,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1V1985Z6,17cc15170282,0x5240f961dcdecb01,AS1C064040F0C631B131017008,AJ8C072363AAB131B632,DNB21523054780A05A,0,0.0000000000,1202,-53.7600000000,1096,-0.0000000000,950,-0.0000000000,0,-0.0000000000,-53.7600000000,
T220509182504858VCMCT8271T0,'20220509182521,'2022-05-09 18:25:26:448,VCMCT8271T01,8,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1Q1985ZB,17cc15170106,0x5240f961dcde4e01,AS1C0640239FA731A633016027,AJ8C072352J9B231B613,DNB21523053600D11A,0,0.0000000000,1469,-69.6320000000,1275,-0.0000000000,1077,-0.0000000000,1062,-0.0000000000,-69.6320000000,
